Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1769055633,75,,Aggregated,118.300000,81.300000,5,6,8,9,13,21,37,50,84,95,95,3949,2639,5,7.297265670356848,1.532958005554974,95.37462500156835,1882.1250949607495
1769055634,75,,Aggregated,119.500000,82.200000,5,6,8,9,13,20,36,50,83,95,95,4069,2722,5,7.250539251022912,1.532958005554974,95.37462500156835,1882.4834111575326
1769055635,75,,Aggregated,119.600000,81.800000,5,6,8,9,13,20,36,50,83,95,95,4176,2799,5,7.192763091367792,1.532958005554974,95.37462500156835,1875.5735153256705
1769055636,75,,Aggregated,119.600000,82.500000,5,6,8,9,13,20,35,49,83,95,95,4305,2886,5,7.13711235182507,1.5041250153444707,95.37462500156835,1876.6473867595819
1769055637,75,,Aggregated,120.000000,82.600000,5,6,8,9,13,19,35,48,83,95,95,4425,2971,5,7.1010722335964696,1.5041250153444707,95.37462500156835,1869.6070056497176
1769055638,75,,Aggregated,119.300000,81.700000,5,6,8,9,13,19,35,48,83,95,95,4547,3053,5,7.085478119611022,1.5041250153444707,95.37462500156835,1869.6450406861668
1769055639,75,,Aggregated,118.800000,82.200000,5,6,8,9,13,19,34,46,83,95,95,4657,3132,5,7.060302558314237,1.5041250153444707,95.37462500156835,1862.5935151385013
1769055640,75,,Aggregated,120.100000,82.400000,5,6,8,9,13,19,34,46,83,95,95,4779,3215,5,7.053070520860542,1.5041250153444707,95.37462500156835,1859.1736765013602
1769055641,75,,Aggregated,118.600000,82.000000,5,6,8,9,13,19,34,46,83,95,95,4894,3299,5,7.0320976067110434,1.5041250153444707,95.37462500156835,1853.2210870453616
1769055642,75,,Aggregated,117.100000,80.400000,5,6,8,9,13,19,32,45,83,95,95,5017,3383,5,7.003907462445923,1.5041250153444707,95.37462500156835,1852.8782140721546
1769055643,75,,Aggregated,117.000000,80.600000,5,6,8,9,13,19,32,45,83,95,95,5135,3465,5,6.982604201729822,1.5041250153444707,95.37462500156835,1850.3994157740992
1769055644,75,,Aggregated,117.400000,81.300000,5,6,8,9,13,18,31,43,83,95,95,5259,3544,5,6.962619705785266,1.5041250153444707,95.37462500156835,1855.6337706788363
1769055645,75,,Aggregated,117.700000,81.800000,5,6,8,9,13,18,32,44,83,95,95,5370,3622,5,6.968111558228747,1.5041250153444707,95.37462500156835,1847.8413407821229
1769055646,75,,Aggregated,118.100000,82.000000,5,6,8,9,13,18,31,43,83,95,95,5483,3702,5,6.939912302176096,1.5041250153444707,95.37462500156835,1840.9334306036842
1769055647,75,,Aggregated,117.300000,81.200000,5,6,8,9,13,18,31,43,83,95,95,5606,3785,5,6.906744839984985,1.5041250153444707,95.37462500156835,1841.523011059579
1769055648,75,,Aggregated,117.800000,81.400000,5,6,8,9,12,18,31,43,83,95,95,5722,3867,5,6.869322620566211,1.5041250153444707,95.37462500156835,1836.2002796225097
1769055649,75,,Aggregated,117.700000,81.000000,5,6,8,9,13,18,30,42,83,95,95,5839,3947,5,6.8726306639765715,1.5041250153444707,95.37462500156835,1834.6511388936462
1769055650,75,,Aggregated,117.500000,81.300000,5,6,8,9,12,18,30,42,83,95,95,5948,4024,5,6.848322928379113,1.5041250153444707,95.37462500156835,1832.4351042367182
1769055651,75,,Aggregated,116.600000,81.200000,5,6,8,9,12,18,30,43,82,95,95,6071,4110,5,6.869600206602841,1.5041250153444707,95.37462500156835,1829.6494811398452
1769055652,75,,Aggregated,117.900000,81.600000,5,6,8,9,12,18,30,43,82,95,95,6199,4195,5,6.872938782764358,1.5041250153444707,95.37462500156835,1829.9777383448943
1769055653,75,,Aggregated,117.300000,80.700000,5,6,8,9,12,18,30,42,82,95,95,6314,4273,5,6.850562838956317,1.5041250153444707,95.37462500156835,1830.379315806145
1769055654,75,,Aggregated,117.400000,80.700000,5,6,8,9,13,18,30,42,82,95,95,6425,4352,5,6.8579071558330655,1.5041250153444707,95.37462500156835,1826.04046692607
1769055655,75,,Aggregated,117.200000,80.600000,5,6,8,9,13,18,30,42,82,95,95,6548,4432,5,6.92376194704426,1.5041250153444707,95.37462500156835,1831.2341172877213
1769055656,75,,Aggregated,116.500000,79.800000,5,6,8,9,13,18,30,42,82,95,95,6669,4514,5,6.906773382118791,1.5041250153444707,95.37462500156835,1827.5483580746738
1769055657,75,,Aggregated,117.100000,80.600000,5,6,8,9,13,18,30,42,82,95,95,6784,4599,5,6.86537793692981,1.5041250153444707,95.37462500156835,1820.1771816037735
1769055658,75,,Aggregated,117.400000,80.900000,5,6,8,9,13,18,29,42,82,95,95,6905,4680,5,6.827742084028782,1.5041250153444707,95.37462500156835,1820.406661839247
1769055659,75,,Aggregated,117.200000,80.500000,5,6,8,9,12,18,29,41,79,95,95,7033,4768,5,6.7943673703110266,1.5041250153444707,95.37462500156835,1818.9535049054457
1769055660,75,,Aggregated,117.800000,81.000000,5,6,7,9,12,18,28,41,79,95,95,7145,4846,5,6.776113519430398,1.5041250153444707,95.37462500156835,1816.622533240028
1769055661,75,,Aggregated,118.300000,80.900000,5,6,7,9,12,17,28,41,79,95,95,7267,4932,5,6.748610565184986,1.5041250153444707,95.37462500156835,1814.4052566396037
1769055662,75,,Aggregated,118.300000,81.400000,5,6,7,9,12,17,28,40,79,95,95,7383,5013,5,6.722534417052744,1.5041250153444707,95.37462500156835,1813.6241365298658
1769055663,75,,Aggregated,118.600000,81.700000,5,6,7,9,12,17,28,40,79,95,95,7504,5095,5,6.70635939367475,1.5041250153444707,95.37462500156835,1815.1095415778252
1769055664,75,,Aggregated,118.400000,81.300000,5,6,7,9,12,17,28,40,79,95,95,7634,5182,5,6.674040265947919,1.5041250153444707,95.37462500156835,1815.403982184962
1769055665,75,,Aggregated,118.100000,81.500000,5,6,7,8,12,17,27,40,79,95,95,7756,5266,5,6.656504740086503,1.5041250153444707,95.37462500156835,1812.3772563176894
1769055666,75,,Aggregated,119.000000,81.800000,5,6,7,8,12,17,27,40,79,95,95,7883,5353,5,6.645802435016863,1.5041250153444707,95.37462500156835,1811.7339845236586
1769055667,75,,Aggregated,119.200000,82.100000,5,6,7,8,12,17,27,40,79,95,95,7999,5434,5,6.624087345583106,1.5041250153444707,95.37462500156835,1811.9176147018377
1769055668,75,,Aggregated,119.800000,82.200000,5,6,7,8,12,17,27,39,79,95,95,8122,5517,5,6.63121024800233,1.5041250153444707,95.37462500156835,1812.712755478946
1769055669,75,,Aggregated,120.700000,82.900000,5,6,7,8,12,17,27,39,79,95,95,8246,5597,5,6.631722871955816,1.5041250153444707,95.37462500156835,1816.4057724957556
1769055670,75,,Aggregated,120.200000,82.400000,5,6,7,8,12,17,27,39,79,95,95,8369,5681,5,6.6192039032185725,1.5041250153444707,95.37462500156835,1815.3869040506631
1769055671,75,,Aggregated,121.100000,82.800000,5,6,7,8,12,17,27,39,79,95,95,8482,5762,5,6.608044099610391,1.5041250153444707,95.37462500156835,1813.3569912756425
1769055672,75,,Aggregated,119.700000,81.500000,5,6,7,8,12,17,27,38,79,95,95,8610,5850,5,6.5885177410816675,1.5041250153444707,95.37462500156835,1813.2714285714285
1769055673,75,,Aggregated,120.800000,82.200000,5,6,7,8,12,17,27,39,79,95,95,8733,5936,5,6.608551051487786,1.5041250153444707,95.37462500156835,1812.7539219054163
1769055674,75,,Aggregated,120.300000,82.000000,5,6,7,8,12,17,27,39,79,95,95,8846,6014,5,6.613558637530971,1.5041250153444707,95.37462500156835,1813.6210716708117
1769055675,75,,Aggregated,121.100000,83.100000,5,6,7,8,12,17,27,39,79,95,95,8969,6097,5,6.6157862912840235,1.5041250153444707,95.37462500156835,1813.8606310625487
1769055676,75,,Aggregated,121.500000,83.600000,5,6,7,8,12,17,27,38,76,95,95,9075,6172,5,6.613899908056124,1.5041250153444707,95.37462500156835,1811.5222038567492
1769055677,75,,Aggregated,120.000000,82.300000,5,6,7,9,12,17,28,40,83,110,110,9198,6254,5,6.7232223529764585,1.5041250153444707,112.01025001355447,1813.9680365296804
1769055678,75,,Aggregated,120.000000,82.200000,5,6,7,9,12,17,28,40,83,110,110,9321,6335,5,6.722191936343852,1.5041250153444707,112.01025001355447,1814.8179379894862
1769055679,75,,Aggregated,117.900000,81.100000,5,6,7,8,12,17,27,40,83,110,110,9443,6421,5,6.706959352260404,1.5041250153444707,112.01025001355447,1812.8844646828338
1769055680,75,,Aggregated,118.100000,81.200000,5,6,7,9,12,17,28,41,83,110,110,9560,6502,5,6.732621857241672,1.5041250153444707,112.01025001355447,1812.1315899581589
1769055681,75,,Aggregated,118.500000,81.200000,5,6,7,9,12,17,28,41,83,110,110,9674,6580,5,6.7313524176279165,1.5041250153444707,112.01025001355447,1813.8638618978705
1769055682,75,,Aggregated,119.200000,82.300000,5,6,7,8,12,17,28,41,83,110,110,9789,6662,5,6.714137867019591,1.5041250153444707,112.01025001355447,1811.8230667075288
1769055683,75,,Aggregated,118.400000,81.800000,5,6,7,9,12,17,28,40,83,110,110,9900,6737,5,6.714125310939224,1.5041250153444707,112.01025001355447,1812.2874747474748
1769055684,75,,Aggregated,118.000000,81.300000,5,6,7,9,12,17,27,40,83,110,110,10029,6823,5,6.69780707169249,1.5041250153444707,112.01025001355447,1813.6678631967295
1769055685,75,,Aggregated,116.300000,79.700000,5,6,7,8,12,17,27,40,83,110,110,10154,6913,5,6.684925575259198,1.5041250153444707,112.01025001355447,1811.742170573173
1769055686,75,,Aggregated,115.400000,79.200000,5,6,7,8,12,17,27,40,83,110,110,10273,6993,5,6.691487268297353,1.5041250153444707,112.01025001355447,1812.0260878029787
1769055687,75,,Aggregated,117.100000,80.000000,5,6,7,8,12,17,27,40,83,110,110,10387,7070,5,6.68597719122583,1.5041250153444707,112.01025001355447,1813.3856744006932
1769055689,75,,Aggregated,117.100000,80.900000,5,6,7,8,12,17,27,40,83,110,110,10501,7143,5,6.69291921439158,1.5041250153444707,112.01025001355447,1816.2063612989239
1769055690,75,,Aggregated,117.800000,80.900000,5,6,7,8,12,17,27,40,83,110,110,10620,7230,5,6.686189034420965,1.5041250153444707,112.01025001355447,1812.7784369114877
1769055691,75,,Aggregated,116.700000,79.900000,5,6,7,8,12,17,27,40,83,110,110,10730,7299,5,6.683060600616421,1.5041250153444707,112.01025001355447,1817.2485554520038
1769055692,75,,Aggregated,116.500000,79.900000,5,6,7,8,12,17,27,39,83,110,110,10846,7384,5,6.6842886041255865,1.5041250153444707,112.01025001355447,1813.3205790153052
1769055693,75,,Aggregated,115.700000,79.000000,5,6,7,8,12,17,27,39,83,110,110,10974,7473,5,6.668692926130548,1.5041250153444707,112.01025001355447,1811.7570621468926
1769055694,75,,Aggregated,116.100000,79.500000,5,6,7,8,12,17,27,39,82,110,110,11083,7544,5,6.646659200538531,1.5041250153444707,112.01025001355447,1813.0710096544258
1769055695,75,,Aggregated,117.600000,80.500000,5,6,7,8,12,17,27,39,82,110,110,11199,7622,5,6.640451755935905,1.5041250153444707,112.01025001355447,1813.4169122243056
1769055696,75,,Aggregated,117.700000,80.300000,5,6,7,8,12,17,27,39,82,110,110,11314,7702,5,6.640047479031916,1.5041250153444707,112.01025001355447,1812.922397030228
1769055697,75,,Aggregated,116.600000,79.600000,5,6,7,8,12,17,27,39,82,110,110,11434,7778,5,6.625493955737562,1.5041250153444707,112.01025001355447,1817.5558859541718
1769055698,75,,Aggregated,115.100000,78.200000,5,6,7,8,12,17,26,39,82,110,110,11552,7861,5,6.604882074087506,1.5041250153444707,112.01025001355447,1816.226108033241
1769055699,75,,Aggregated,115.300000,78.100000,5,6,7,8,12,17,26,39,82,110,110,11677,7945,5,6.575993944906469,1.4800830103922635,112.01025001355447,1816.3033313351032
