Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/v1/cab/03917dd1-355a-4d06-88ed-cad49e5edd86/reject/,1,1,5.122833012137562,5.122833012137562,5.122833012137562,5.122833012137562,126.0,0.0033379840905159255,0.0033379840905159255,5,5,5,5,5,5,5,5,5,5,5
POST,/api/v1/cab/0414813b-1449-41d9-b4d7-9dde829aa06b/reject/,1,1,9.934790985425934,9.934790985425934,9.934790985425934,9.934790985425934,126.0,0.0033379840905159255,0.0033379840905159255,10,10,10,10,10,10,10,10,10,10,10
POST,/api/v1/cab/045f113c-9d4d-4685-8a95-29a100bcbfa2/reject/,1,1,4.116958996746689,4.116958996746689,4.116958996746689,4.116958996746689,126.0,0.0033379840905159255,0.0033379840905159255,4,4,4,4,4,4,4,4,4,4,4
POST,/api/v1/cab/0477112a-8a4c-4ba1-8d04-226b02412604/reject/,1,1,16.829458996653557,16.829458996653557,16.829458996653557,16.829458996653557,126.0,0.0033379840905159255,0.0033379840905159255,17,17,17,17,17,17,17,17,17,17,17
POST,/api/v1/cab/0494f61b-1ece-4981-86fe-9b27cc24d17b/reject/,1,1,2.6265000051353127,2.6265000051353127,2.6265000051353127,2.6265000051353127,126.0,0.0033379840905159255,0.0033379840905159255,3,3,3,3,3,3,3,3,3,3,3
POST,/api/v1/cab/04dfd918-50ca-4617-80c1-df4d8c58d6e2/reject/,1,1,10.388499998953193,10.388499998953193,10.388499998953193,10.388499998953193,126.0,0.0033379840905159255,0.0033379840905159255,10,10,10,10,10,10,10,10,10,10,10
POST,/api/v1/cab/05149c1f-cd2a-4be9-a065-c7a68ee1b360/reject/,1,1,13.257209007861093,13.257209007861093,13.257209007861093,13.257209007861093,126.0,0.0033379840905159255,0.0033379840905159255,13,13,13,13,13,13,13,13,13,13,13
POST,/api/v1/cab/055bdc71-34fa-4dc1-b315-09c78ebf1aee/reject/,1,1,6.178875017212704,6.178875017212704,6.178875017212704,6.178875017212704,126.0,0.0033379840905159255,0.0033379840905159255,6,6,6,6,6,6,6,6,6,6,6
POST,/api/v1/cab/0568c457-96c3-4cf1-af6d-03482db35321/reject/,1,0,8.442791004199535,8.442791004199535,8.442791004199535,8.442791004199535,32.0,0.0033379840905159255,0.0,8,8,8,8,8,8,8,8,8,8,8
POST,/api/v1/cab/056cd8dd-a9f1-4284-b6e8-255c0d67b91e/reject/,1,1,4.847917007282376,4.847917007282376,4.847917007282376,4.847917007282376,126.0,0.0033379840905159255,0.0033379840905159255,5,5,5,5,5,5,5,5,5,5,5
POST,/api/v1/cab/05a35d2f-6b12-4ff0-82ae-0b717aba35bd/reject/,1,1,5.054540990386158,5.054540990386158,5.054540990386158,5.054540990386158,126.0,0.0033379840905159255,0.0033379840905159255,5,5,5,5,5,5,5,5,5,5,5
POST,/api/v1/cab/06333b2c-d3cf-4c53-98dd-b95d6e56dfe8/reject/,1,1,3.7109160039108247,3.7109160039108247,3.7109160039108247,3.7109160039108247,126.0,0.0033379840905159255,0.0033379840905159255,4,4,4,4,4,4,4,4,4,4,4
POST,/api/v1/cab/06a3e96a-4436-443b-95c6-ed3e9d4945c1/reject/,1,1,26.284624997060746,26.284624997060746,26.284624997060746,26.284624997060746,126.0,0.0033379840905159255,0.0033379840905159255,26,26,26,26,26,26,26,26,26,26,26
POST,/api/v1/cab/06bd3d98-2f5d-435d-9080-2e6dc7af8c65/reject/,1,1,12.201332981931046,12.201332981931046,12.201332981931046,12.201332981931046,126.0,0.0033379840905159255,0.0033379840905159255,12,12,12,12,12,12,12,12,12,12,12
POST,/api/v1/cab/070a1430-8653-43fa-ba39-20f191305a4f/reject/,1,1,4.364082997199148,4.364082997199148,4.364082997199148,4.364082997199148,126.0,0.0033379840905159255,0.0033379840905159255,4,4,4,4,4,4,4,4,4,4,4
POST,/api/v1/cab/07283eb5-0d3a-4289-bffb-9887cbc990c2/reject/,1,1,3.375291998963803,3.375291998963803,3.375291998963803,3.375291998963803,126.0,0.0033379840905159255,0.0033379840905159255,3,3,3,3,3,3,3,3,3,3,3
POST,/api/v1/cab/0737765b-7882-4c1c-9d40-507c019fe814/reject/,1,1,4.212249972624704,4.212249972624704,4.212249972624704,4.212249972624704,126.0,0.0033379840905159255,0.0033379840905159255,4,4,4,4,4,4,4,4,4,4,4
POST,/api/v1/cab/075e428d-775b-42be-8b8a-73576e48cc00/reject/,1,1,5.077416019048542,5.077416019048542,5.077416019048542,5.077416019048542,126.0,0.0033379840905159255,0.0033379840905159255,5,5,5,5,5,5,5,5,5,5,5
POST,/api/v1/cab/08c603ed-aad6-416a-b22e-a83c9b59ae59/approve/,1,0,12.412541982484981,12.412541982484981,12.412541982484981,12.412541982484981,32.0,0.0033379840905159255,0.0,12,12,12,12,12,12,12,12,12,12,12
POST,/api/v1/cab/08ce00e5-8427-42d0-aff7-f406c763620d/reject/,1,1,5.401750007877126,5.401750007877126,5.401750007877126,5.401750007877126,126.0,0.0033379840905159255,0.0033379840905159255,5,5,5,5,5,5,5,5,5,5,5
POST,/api/v1/cab/08f1abc5-64f1-40f2-be71-01c861446c82/reject/,1,1,4.390832997160032,4.390832997160032,4.390832997160032,4.390832997160032,126.0,0.0033379840905159255,0.0033379840905159255,4,4,4,4,4,4,4,4,4,4,4
POST,/api/v1/cab/09223477-bb98-4a5b-a1e4-e9ccf949df1c/reject/,1,1,6.277999986195937,6.277999986195937,6.277999986195937,6.277999986195937,126.0,0.0033379840905159255,0.0033379840905159255,6,6,6,6,6,6,6,6,6,6,6
POST,/api/v1/cab/09f9da33-db5b-4fd4-9062-f0b207695ee0/reject/,1,1,8.777541981544346,8.777541981544346,8.777541981544346,8.777541981544346,126.0,0.0033379840905159255,0.0033379840905159255,9,9,9,9,9,9,9,9,9,9,9
POST,/api/v1/cab/0a0a47a1-b258-4ced-8095-22fbb4979c83/approve/,1,0,15.66741699934937,15.66741699934937,15.66741699934937,15.66741699934937,32.0,0.0033379840905159255,0.0,16,16,16,16,16,16,16,16,16,16,16
POST,/api/v1/cab/0a153c7c-3da9-45e9-a6e2-d708645f6efd/reject/,1,1,6.752582994522527,6.752582994522527,6.752582994522527,6.752582994522527,126.0,0.0033379840905159255,0.0033379840905159255,7,7,7,7,7,7,7,7,7,7,7
POST,/api/v1/cab/0a23c708-fbfd-4a61-971f-d4facced7afd/reject/,1,1,5.20270800916478,5.20270800916478,5.20270800916478,5.20270800916478,126.0,0.0033379840905159255,0.0033379840905159255,5,5,5,5,5,5,5,5,5,5,5
POST,/api/v1/cab/0aaa3764-8137-4985-b79d-b630c91bb872/reject/,1,1,3.572749992599711,3.572749992599711,3.572749992599711,3.572749992599711,126.0,0.0033379840905159255,0.0033379840905159255,4,4,4,4,4,4,4,4,4,4,4
POST,/api/v1/cab/0b2318ff-c0d6-4405-a18f-88917b00a506/reject/,1,1,6.6879160003736615,6.6879160003736615,6.6879160003736615,6.6879160003736615,126.0,0.0033379840905159255,0.0033379840905159255,7,7,7,7,7,7,7,7,7,7,7
POST,/api/v1/cab/0b8f4185-2167-4404-acb2-9fb617e61a46/reject/,1,0,14.628667006036267,14.628667006036267,14.628667006036267,14.628667006036267,32.0,0.0033379840905159255,0.0,15,15,15,15,15,15,15,15,15,15,15
POST,/api/v1/cab/0bf51011-1627-4b89-9925-48adfc4c224c/reject/,1,1,4.305457987356931,4.305457987356931,4.305457987356931,4.305457987356931,126.0,0.0033379840905159255,0.0033379840905159255,4,4,4,4,4,4,4,4,4,4,4
POST,/api/v1/cab/0c2fbb91-fbb6-4e41-a3aa-f4431dca4d69/reject/,1,1,39.76166699430905,39.76166699430905,39.76166699430905,39.76166699430905,126.0,0.0033379840905159255,0.0033379840905159255,40,40,40,40,40,40,40,40,40,40,40
POST,/api/v1/cab/0c44f9e1-cc5f-4bae-9f57-7fd6eee58e69/reject/,1,1,6.223332980880514,6.223332980880514,6.223332980880514,6.223332980880514,126.0,0.0033379840905159255,0.0033379840905159255,6,6,6,6,6,6,6,6,6,6,6
POST,/api/v1/cab/0c62f866-acfd-4e6c-8742-aaf90e389320/reject/,1,0,4.28812499740161,4.28812499740161,4.28812499740161,4.28812499740161,32.0,0.0033379840905159255,0.0,4,4,4,4,4,4,4,4,4,4,4
POST,/api/v1/cab/0c640589-7bb6-4cd9-a2f8-671e54b81800/reject/,1,1,5.376415996579453,5.376415996579453,5.376415996579453,5.376415996579453,126.0,0.0033379840905159255,0.0033379840905159255,5,5,5,5,5,5,5,5,5,5,5
POST,/api/v1/cab/0c6fcad4-c1dc-4c09-a0d2-0095cc80c86c/reject/,1,1,6.209332990692928,6.209332990692928,6.209332990692928,6.209332990692928,126.0,0.0033379840905159255,0.0033379840905159255,6,6,6,6,6,6,6,6,6,6,6
POST,/api/v1/cab/0c819c59-41b5-4bba-a517-b56abb81448e/reject/,1,1,6.473541987361386,6.473541987361386,6.473541987361386,6.473541987361386,126.0,0.0033379840905159255,0.0033379840905159255,6,6,6,6,6,6,6,6,6,6,6
POST,/api/v1/cab/0c88f478-d465-4d3b-9ccd-a5f9809c95e8/reject/,1,1,4.05633301124908,4.05633301124908,4.05633301124908,4.05633301124908,126.0,0.0033379840905159255,0.0033379840905159255,4,4,4,4,4,4,4,4,4,4,4
POST,/api/v1/cab/0cab83d9-a4dc-4275-9778-cb862ef779f4/reject/,1,1,7.7342909935396165,7.7342909935396165,7.7342909935396165,7.7342909935396165,126.0,0.0033379840905159255,0.0033379840905159255,8,8,8,8,8,8,8,8,8,8,8
POST,/api/v1/cab/0cf06356-ecdf-47f4-9b80-fa6a840a3c26/reject/,1,1,8.6541669734288,8.6541669734288,8.6541669734288,8.6541669734288,126.0,0.0033379840905159255,0.0033379840905159255,9,9,9,9,9,9,9,9,9,9,9
