Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/v1/cab/1b086622-f9f8-4d0b-925a-2515d316c192/reject/,1,0,5.889583000680432,5.889583000680432,5.889583000680432,5.889583000680432,32.0,0.0033709517814487487,0.0,6,6,6,6,6,6,6,6,6,6,6
POST,/api/v1/cab/1b4b4321-6b9a-49d0-9003-37fb5637c38a/reject/,1,1,4.187707992969081,4.187707992969081,4.187707992969081,4.187707992969081,126.0,0.0033709517814487487,0.0033709517814487487,4,4,4,4,4,4,4,4,4,4,4
POST,/api/v1/cab/1b66d6f3-d042-4438-80c2-98a86d61f906/reject/,1,0,4.276374995242804,4.276374995242804,4.276374995242804,4.276374995242804,32.0,0.0033709517814487487,0.0,4,4,4,4,4,4,4,4,4,4,4
POST,/api/v1/cab/1c8049cf-707a-4c2c-b064-dc4a9b0e6859/reject/,1,0,3.7667910219170153,3.7667910219170153,3.7667910219170153,3.7667910219170153,32.0,0.0033709517814487487,0.0,4,4,4,4,4,4,4,4,4,4,4
POST,/api/v1/cab/1d451703-fc84-4feb-bdb4-415de93aa2ec/reject/,1,1,7.988334022229537,7.988334022229537,7.988334022229537,7.988334022229537,126.0,0.0033709517814487487,0.0033709517814487487,8,8,8,8,8,8,8,8,8,8,8
POST,/api/v1/cab/1d7d18c5-1ad1-4a48-b110-9690ea15e775/reject/,1,1,3.464666020590812,3.464666020590812,3.464666020590812,3.464666020590812,126.0,0.0033709517814487487,0.0033709517814487487,3,3,3,3,3,3,3,3,3,3,3
POST,/api/v1/cab/1d9c43e3-6cf9-453e-b4a6-8894955dc83d/reject/,1,1,8.880749985110015,8.880749985110015,8.880749985110015,8.880749985110015,126.0,0.0033709517814487487,0.0033709517814487487,9,9,9,9,9,9,9,9,9,9,9
POST,/api/v1/cab/1ede2f11-e097-42a8-84fb-a563848c78ba/reject/,1,0,3.2415840250905603,3.2415840250905603,3.2415840250905603,3.2415840250905603,32.0,0.0033709517814487487,0.0,3,3,3,3,3,3,3,3,3,3,3
POST,/api/v1/cab/1f22de86-c4ac-4d93-89a8-69a8c40a1edf/reject/,1,1,21.51383299496956,21.51383299496956,21.51383299496956,21.51383299496956,126.0,0.0033709517814487487,0.0033709517814487487,22,22,22,22,22,22,22,22,22,22,22
POST,/api/v1/cab/1f8622f8-5210-4e4e-8291-bb596c426b0b/reject/,1,1,2.8946659876964986,2.8946659876964986,2.8946659876964986,2.8946659876964986,126.0,0.0033709517814487487,0.0033709517814487487,3,3,3,3,3,3,3,3,3,3,3
POST,/api/v1/cab/1fee2ec4-b025-4ead-ac34-4b3f57a84fc7/reject/,1,1,5.458792002173141,5.458792002173141,5.458792002173141,5.458792002173141,126.0,0.0033709517814487487,0.0033709517814487487,5,5,5,5,5,5,5,5,5,5,5
POST,/api/v1/cab/1fff8b8c-cca5-446d-8e83-6b4bb871581b/reject/,1,1,2.1840829867869616,2.1840829867869616,2.1840829867869616,2.1840829867869616,126.0,0.0033709517814487487,0.0033709517814487487,2,2,2,2,2,2,2,2,2,2,2
POST,/api/v1/cab/2129f34b-d671-4a03-b7bd-11cb447f8bcb/reject/,1,0,4.0329580078832805,4.0329580078832805,4.0329580078832805,4.0329580078832805,32.0,0.0033709517814487487,0.0,4,4,4,4,4,4,4,4,4,4,4
POST,/api/v1/cab/2133b054-9cf3-4f1b-bd17-0df2d0c1f8b0/reject/,1,1,7.438625005306676,7.438625005306676,7.438625005306676,7.438625005306676,126.0,0.0033709517814487487,0.0033709517814487487,7,7,7,7,7,7,7,7,7,7,7
POST,/api/v1/cab/213c9a1b-0a05-478d-85f5-d6fdb2815310/reject/,1,1,3.77804200979881,3.77804200979881,3.77804200979881,3.77804200979881,126.0,0.0033709517814487487,0.0033709517814487487,4,4,4,4,4,4,4,4,4,4,4
POST,/api/v1/cab/21827182-d64a-4df2-b667-6c2cf158ac7a/reject/,1,0,16.4764589862898,16.4764589862898,16.4764589862898,16.4764589862898,32.0,0.0033709517814487487,0.0,16,16,16,16,16,16,16,16,16,16,16
POST,/api/v1/cab/22ac5bb9-18f7-481f-8537-431b314f88ca/reject/,1,1,7.7350409992504865,7.7350409992504865,7.7350409992504865,7.7350409992504865,126.0,0.0033709517814487487,0.0033709517814487487,8,8,8,8,8,8,8,8,8,8,8
POST,/api/v1/cab/232404c4-77d5-45a2-b9ac-67f23e0117f4/reject/,1,1,4.667250002967194,4.667250002967194,4.667250002967194,4.667250002967194,126.0,0.0033709517814487487,0.0033709517814487487,5,5,5,5,5,5,5,5,5,5,5
POST,/api/v1/cab/23b8ca17-d021-465a-8e77-97a751fa42d9/reject/,1,1,5.523791012819856,5.523791012819856,5.523791012819856,5.523791012819856,126.0,0.0033709517814487487,0.0033709517814487487,6,6,6,6,6,6,6,6,6,6,6
POST,/api/v1/cab/23be1d72-6ccb-410f-8769-bb995124dd36/approve/,1,0,41.24570800922811,41.24570800922811,41.24570800922811,41.24570800922811,32.0,0.0033709517814487487,0.0,41,41,41,41,41,41,41,41,41,41,41
POST,/api/v1/cab/245e2452-2bf6-4462-b26a-c2f9b76c9ee0/reject/,1,0,4.78774998919107,4.78774998919107,4.78774998919107,4.78774998919107,32.0,0.0033709517814487487,0.0,5,5,5,5,5,5,5,5,5,5,5
POST,/api/v1/cab/2545af48-5275-4c46-9aab-07b9f595b259/reject/,1,0,4.55691700335592,4.55691700335592,4.55691700335592,4.55691700335592,32.0,0.0033709517814487487,0.0,5,5,5,5,5,5,5,5,5,5,5
POST,/api/v1/cab/259083bf-8b6d-4404-bfaf-5d67b46a9db8/reject/,1,1,2.511291007976979,2.511291007976979,2.511291007976979,2.511291007976979,126.0,0.0033709517814487487,0.0033709517814487487,3,3,3,3,3,3,3,3,3,3,3
POST,/api/v1/cab/25cc2694-070f-48e7-927f-2910f913aa9e/reject/,1,1,2.533082995796576,2.533082995796576,2.533082995796576,2.533082995796576,126.0,0.0033709517814487487,0.0033709517814487487,3,3,3,3,3,3,3,3,3,3,3
POST,/api/v1/cab/25ebe338-4845-49f7-9260-e2ca3ece0e33/reject/,1,0,5.149957985850051,5.149957985850051,5.149957985850051,5.149957985850051,32.0,0.0033709517814487487,0.0,5,5,5,5,5,5,5,5,5,5,5
POST,/api/v1/cab/263ba801-1d39-4b5d-ad5d-b1522193742b/reject/,1,0,9.824832988670096,9.824832988670096,9.824832988670096,9.824832988670096,32.0,0.0033709517814487487,0.0,10,10,10,10,10,10,10,10,10,10,10
POST,/api/v1/cab/272dc1b8-eac2-4969-9c25-353f68f89d39/reject/,1,1,5.193124990910292,5.193124990910292,5.193124990910292,5.193124990910292,126.0,0.0033709517814487487,0.0033709517814487487,5,5,5,5,5,5,5,5,5,5,5
POST,/api/v1/cab/2772872a-7b7e-41b8-bd54-62ea855f3795/reject/,1,1,9.57979101804085,9.57979101804085,9.57979101804085,9.57979101804085,126.0,0.0033709517814487487,0.0033709517814487487,10,10,10,10,10,10,10,10,10,10,10
POST,/api/v1/cab/279dd10f-9fa9-4cbd-98c3-36524cfb1504/reject/,1,0,6.264249997911975,6.264249997911975,6.264249997911975,6.264249997911975,32.0,0.0033709517814487487,0.0,6,6,6,6,6,6,6,6,6,6,6
POST,/api/v1/cab/27c23571-853c-44a2-bd39-1eebf389b729/reject/,1,1,5.2024169999640435,5.2024169999640435,5.2024169999640435,5.2024169999640435,126.0,0.0033709517814487487,0.0033709517814487487,5,5,5,5,5,5,5,5,5,5,5
POST,/api/v1/cab/2814e593-cc68-4ad8-aacb-6a0a8a45a646/reject/,1,1,5.826624983455986,5.826624983455986,5.826624983455986,5.826624983455986,126.0,0.0033709517814487487,0.0033709517814487487,6,6,6,6,6,6,6,6,6,6,6
POST,/api/v1/cab/2831d93a-3840-40e4-981f-bf3702bbac8d/reject/,1,1,15.380790980998427,15.380790980998427,15.380790980998427,15.380790980998427,126.0,0.0033709517814487487,0.0033709517814487487,15,15,15,15,15,15,15,15,15,15,15
POST,/api/v1/cab/287b0f3f-e4ec-401f-8273-2337a1f4b4bf/reject/,1,0,10.053624981082976,10.053624981082976,10.053624981082976,10.053624981082976,32.0,0.0033709517814487487,0.0,10,10,10,10,10,10,10,10,10,10,10
