Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/v1/connectors/status/006e329b-10b4-412e-b5af-62407d44f1de/,1,0,10.104167013196275,10.104167013196275,10.104167013196275,10.104167013196275,5178.0,0.0033438855011581332,0.0,10,10,10,10,10,10,10,10,10,10,10
GET,/api/v1/connectors/status/007847e4-ab77-4c25-8041-2313128359f1/,1,0,7.936457986943424,7.936457986943424,7.936457986943424,7.936457986943424,5178.0,0.0033438855011581332,0.0,8,8,8,8,8,8,8,8,8,8,8
GET,/api/v1/connectors/status/00841f6a-fb2a-426d-96e4-48a911b5896b/,1,0,17.75645901216194,17.75645901216194,17.75645901216194,17.75645901216194,5178.0,0.0033438855011581332,0.0,18,18,18,18,18,18,18,18,18,18,18
GET,/api/v1/connectors/status/00885e47-9b55-491d-bfb9-db840c87540c/,1,0,83.62729198415764,83.62729198415764,83.62729198415764,83.62729198415764,5178.0,0.0033438855011581332,0.0,84,84,84,84,84,84,84,84,84,84,84
GET,/api/v1/connectors/status/008bae4d-7d42-46af-95df-f03eb9ea8271/,1,0,5.85266700363718,5.85266700363718,5.85266700363718,5.85266700363718,5178.0,0.0033438855011581332,0.0,6,6,6,6,6,6,6,6,6,6,6
GET,/api/v1/connectors/status/009c9abe-cb1d-439e-a5d5-47b1639b3784/,1,0,10.380249994341284,10.380249994341284,10.380249994341284,10.380249994341284,5178.0,0.0033438855011581332,0.0,10,10,10,10,10,10,10,10,10,10,10
GET,/api/v1/connectors/status/009d8da1-fcde-4f7c-af37-e0b42d7ce1ce/,1,0,18.214499985333532,18.214499985333532,18.214499985333532,18.214499985333532,5178.0,0.0033438855011581332,0.0,18,18,18,18,18,18,18,18,18,18,18
GET,/api/v1/connectors/status/00a52baa-7256-4275-9f13-99078b31af8c/,1,0,39.41737502464093,39.41737502464093,39.41737502464093,39.41737502464093,5178.0,0.0033438855011581332,0.0,39,39,39,39,39,39,39,39,39,39,39
GET,/api/v1/connectors/status/00b0f5b7-712b-4c82-8efa-818929b72cda/,1,0,27.31195802334696,27.31195802334696,27.31195802334696,27.31195802334696,5178.0,0.0033438855011581332,0.0,27,27,27,27,27,27,27,27,27,27,27
GET,/api/v1/connectors/status/00b549db-cd80-469f-b93d-1e1b8688b9b2/,1,0,97.69008299917914,97.69008299917914,97.69008299917914,97.69008299917914,5178.0,0.0033438855011581332,0.0,98,98,98,98,98,98,98,98,98,98,98
GET,/api/v1/connectors/status/00c0cfb9-59d8-488f-b957-523fe9605c8d/,1,0,243.79112498718314,243.79112498718314,243.79112498718314,243.79112498718314,5178.0,0.0033438855011581332,0.0,240,240,240,240,240,240,240,240,240,240,240
GET,/api/v1/connectors/status/00c6771e-833b-4def-a40c-50d4cbaf7298/,1,0,22.09466599742882,22.09466599742882,22.09466599742882,22.09466599742882,5178.0,0.0033438855011581332,0.0,22,22,22,22,22,22,22,22,22,22,22
GET,/api/v1/connectors/status/00c7c7d8-cd71-42a4-9c86-caee9f7e6e6e/,1,0,23.656208999454975,23.656208999454975,23.656208999454975,23.656208999454975,5178.0,0.0033438855011581332,0.0,24,24,24,24,24,24,24,24,24,24,24
GET,/api/v1/connectors/status/00c9ed86-7d93-4ca7-a829-890768af4ce1/,1,0,13.424667005892843,13.424667005892843,13.424667005892843,13.424667005892843,5178.0,0.0033438855011581332,0.0,13,13,13,13,13,13,13,13,13,13,13
GET,/api/v1/connectors/status/00f79eb9-182b-416c-af45-bceb78532c4f/,1,0,18.80070799961686,18.80070799961686,18.80070799961686,18.80070799961686,5178.0,0.0033438855011581332,0.0,19,19,19,19,19,19,19,19,19,19,19
